股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量（手）,成交额,振幅,换手率,市盈率,量比,最高,最低,今开,昨收,市净率
920002,N万达,67.98,227.77,47.24,46214,300210249.76,88.43,97.29,37.84,-,75.0,56.66,57.0,20.74,-1.28
300423,昇辉科技,6.35,20.04,1.06,318107,197750673.65,15.31,9.8,154.38,1.8,6.35,5.54,5.54,5.29,0.0
300672,国科微,59.8,20.01,9.97,243030,1351278865.77,21.43,11.57,78.78,3.94,59.8,49.12,49.85,49.83,0.0
301517,陕西华达,72.07,20.0,12.01,155172,1011548471.4,24.91,69.46,192.68,2.01,72.07,57.11,60.05,60.06,0.01
301306,西测测试,34.04,19.99,5.67,74986,243188522.11,18.22,19.09,-19.96,3.81,34.04,28.87,28.87,28.37,0.0
300637,扬帆新材,12.86,19.96,2.14,914944,1036482962.83,23.88,39.07,-56.18,2.04,12.86,10.3,10.67,10.72,0.0
300486,东杰智能,5.71,19.96,0.95,307322,164871296.09,21.22,7.76,-90.6,5.15,5.71,4.7,4.73,4.76,0.0
300305,裕兴股份,9.07,17.49,1.35,489373,425138504.69,12.95,21.04,-14.82,6.69,9.19,8.19,8.56,7.72,0.0
300956,英力股份,26.5,15.47,3.55,422186,1045814921.43,21.35,61.73,290.13,1.12,26.6,21.7,22.52,22.95,0.0
300405,科隆股份,5.06,15.0,0.66,582143,299542114.12,20.0,26.6,-39.85,9.99,5.28,4.4,4.4,4.4,0.4
301049,超越科技,27.12,14.53,3.44,101986,274249557.02,14.44,39.71,-54.06,3.95,28.1,24.68,24.68,23.68,-0.11
300671,富满微,27.48,13.27,3.22,230918,599089691.33,17.48,10.64,-53.02,2.65,28.12,23.88,24.11,24.26,-0.04
300046,台基股份,15.07,13.14,1.75,540298,771110278.48,24.85,22.84,-46.29,3.93,15.92,12.61,12.62,13.32,0.07
301099,雅创电子,43.83,12.07,4.72,67803,289421854.1,18.0,23.38,33.11,4.02,45.5,38.46,39.1,39.11,0.16
301129,瑞纳智能,24.5,11.67,2.56,190900,430019875.05,24.2,52.76,-90.9,4.05,25.6,20.29,22.0,21.94,-2.0
301106,骏成科技,31.5,10.6,3.02,105980,317881726.15,9.83,36.31,37.13,3.34,31.5,28.7,30.04,28.48,0.61
300342,天银机电,14.84,10.58,1.42,840715,1230342333.79,19.9,20.2,417.13,3.14,15.68,13.01,13.22,13.42,0.2
