股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量（手）,成交额,振幅,换手率,市盈率,量比,最高,最低,今开,昨收,市净率
300256,星星科技,2.08,20.23,0.35,895141,172347601.61,21.39,5.45,-40.25,4.03,2.08,1.71,1.73,1.73,0.0
300675,建科院,13.74,20.0,2.29,295032,397260316.19,20.44,20.12,-23.27,4.73,13.74,11.4,11.58,11.45,0.0
300615,欣天科技,16.26,20.0,2.71,469663,699544251.36,24.65,35.74,-92.83,3.44,16.26,12.92,12.92,13.55,0.0
300656,民德电子,21.02,19.98,3.5,59710,123047398.1,15.98,4.7,4406.05,2.55,21.02,18.22,18.22,17.52,0.0
688613,奥精医疗,15.44,19.97,2.57,122162,188437199.0,3.42,9.01,75.41,10.15,15.44,15.0,15.44,12.87,0.0
300328,宜安科技,5.29,19.95,0.88,908407,464823532.6,19.5,13.26,1001.2,10.06,5.29,4.43,4.57,4.41,0.0
837821,则成电子,24.82,18.19,3.82,120210,280919396.7,15.62,23.63,171.36,1.78,24.97,21.69,21.7,21.0,0.0
300653,正海生物,24.46,15.81,3.34,241815,605670205.34,6.82,13.43,25.59,12.18,25.34,23.9,25.34,21.12,-0.08
002285,世联行,2.17,10.15,0.2,1615786,338094534.45,15.23,8.18,-26.55,2.0,2.17,1.87,1.9,1.97,0.0
000509,华塑控股,2.93,10.15,0.27,254817,74192264.0,6.39,2.37,2559.03,4.88,2.93,2.76,2.93,2.66,0.0
000597,东北制药,5.89,10.09,0.54,2481459,1456646308.06,2.8,17.64,36.51,19.32,5.89,5.74,5.89,5.35,0.0
603389,亚振家居,6.33,10.09,0.58,513399,311105841.0,10.96,19.54,-14.71,2.18,6.33,5.7,5.9,5.75,0.0
002405,四维图新,7.21,10.08,0.66,862811,609127268.78,10.23,3.7,-25.24,1.85,7.21,6.54,6.62,6.55,0.0
600843,上工申贝,8.1,10.05,0.74,724131,578282230.0,9.51,15.43,89.36,0.68,8.1,7.4,7.4,7.36,0.0
000536,华映科技,2.08,10.05,0.19,627352,125652554.4,10.58,2.27,-5.6,2.36,2.08,1.88,1.89,1.89,0.0
603121,华培动力,7.45,10.04,0.68,148313,107938628.0,9.31,4.38,16.63,2.19,7.45,6.82,6.82,6.77,0.0
600696,岩石股份,9.21,10.04,0.84,413578,371860688.0,8.48,12.37,-39.17,1.81,9.21,8.5,8.77,8.37,0.0
603065,宿迁联盛,7.9,10.03,0.72,54907,42891636.0,9.89,2.79,75.79,2.32,7.9,7.19,7.19,7.18,0.0
603139,康惠制药,13.83,10.02,1.26,29029,40140896.0,2.63,2.91,317.9,1.75,13.83,13.5,13.83,12.57,0.0
002915,中欣氟材,10.1,10.02,0.92,55199,55474608.0,9.59,1.91,321.83,1.74,10.1,9.22,9.28,9.18,0.0
002871,伟隆股份,9.56,10.01,0.87,80521,76978418.16,0.12,6.74,23.89,3.21,9.56,9.55,9.56,8.69,0.0
603375,盛景微,40.44,10.01,3.68,27106,108244896.0,9.09,13.46,-445.56,0.61,40.44,37.1,37.1,36.76,0.0
600552,凯盛科技,10.12,10.0,0.92,492339,486319831.0,10.33,5.21,173.38,4.31,10.12,9.17,9.25,9.2,0.0
600151,航天机电,5.39,10.0,0.49,465295,250742462.0,0.41,3.24,-40.5,1.06,5.39,5.37,5.38,4.9,0.0
003026,中晶科技,32.13,10.0,2.92,276632,882260861.58,3.77,34.44,852.26,1.34,32.13,31.03,31.07,29.21,0.0
603324,盛剑科技,23.34,9.99,2.12,40391,93846723.0,6.36,2.71,45.86,1.58,23.34,21.99,22.03,21.22,0.0
002824,和胜股份,13.45,9.98,1.22,76839,100134146.07,10.63,4.06,55.03,1.45,13.45,12.15,12.36,12.23,0.0
603900,莱绅通灵,5.96,9.96,0.54,468738,267085385.0,10.15,13.77,-27.26,1.05,5.96,5.41,5.46,5.42,0.0
603978,深圳新星,11.15,9.96,1.01,141318,143914553.0,16.27,8.52,-11.52,1.45,11.15,9.5,9.93,10.14,0.0
000558,莱茵体育,2.54,9.96,0.23,1167148,291504306.95,9.09,9.06,30.93,2.28,2.54,2.33,2.38,2.31,0.0
000011,深物业A,9.39,9.95,0.85,525983,472579740.0,16.04,9.99,3017.93,2.89,9.39,8.02,8.12,8.54,0.0
002175,东方智造,1.88,9.94,0.17,487671,89151151.12,9.94,3.82,281.09,3.92,1.88,1.71,1.71,1.71,0.0
300097,智云股份,5.87,9.93,0.53,256804,144623886.12,10.11,9.51,58.61,3.53,5.87,5.33,5.38,5.34,0.34
603458,勘设股份,5.76,9.92,0.52,152925,84412041.0,10.31,4.91,-15.39,1.33,5.76,5.22,5.22,5.24,0.0
002717,岭南股份,1.11,9.9,0.1,3856305,386606886.73,19.8,26.31,-5.19,2.14,1.11,0.91,0.91,1.01,0.0
600686,金龙汽车,16.01,9.13,1.34,1981228,3118484508.0,9.95,27.63,162.52,1.16,16.14,14.68,14.68,14.67,1.27
300917,特发服务,36.48,9.12,3.05,275639,990418048.94,19.83,16.31,45.17,1.86,38.88,32.25,32.4,33.43,-0.03
600383,金地集团,3.5,8.7,0.28,4182940,1455575104.0,10.87,9.27,-14.31,2.78,3.54,3.19,3.19,3.22,-0.57
300013,*ST新宁,2.08,8.33,0.16,351755,74865631.01,14.58,7.87,-119.71,2.19,2.29,2.01,2.01,1.92,-0.48
300400,劲拓股份,11.79,8.07,0.88,199659,231660978.0,9.53,8.29,68.55,3.23,12.0,10.96,11.01,10.91,0.0
300963,中洲特材,8.39,7.98,0.62,301400,264799741.9,19.43,15.03,44.94,4.91,9.32,7.81,7.87,7.77,0.12
300977,深圳瑞捷,16.65,7.7,1.19,123085,205307950.01,15.78,31.73,200.6,1.84,17.8,15.36,15.47,15.46,-0.18
300621,维业股份,7.99,7.68,0.57,97503,76878857.44,16.04,4.97,95.08,3.59,8.5,7.31,7.42,7.42,0.0
300839,博汇股份,7.15,7.68,0.51,280537,199033426.61,16.42,11.68,-4.41,5.78,7.49,6.4,6.8,6.64,-1.11
301314,科瑞思,33.47,7.66,2.38,30504,99211042.39,8.04,18.77,60.01,3.01,33.5,31.0,31.1,31.09,0.03
