股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量（手）,成交额,振幅,换手率,市盈率,量比,最高,最低,今开,昨收,市净率
688710,N益诺思,27.0,41.66,7.94,187723,524120885.0,29.85,70.83,19.9,-,32.0,26.31,30.55,19.06,0.41
001277,N速达股,43.57,36.16,11.57,129761,607094772.29,23.47,68.3,20.98,-,51.03,43.52,50.21,32.0,-0.05
300047,天源迪科,8.74,20.05,1.46,849693,677981142.33,21.7,15.46,91.06,1.7,8.74,7.16,7.25,7.28,0.0
300068,南都电源,11.15,20.02,1.86,1742158,1769006111.97,21.1,20.99,26.26,5.12,11.15,9.19,9.19,9.29,0.0
300619,金银河,23.26,20.02,3.88,119399,265331853.92,22.86,10.86,-119.7,2.29,23.26,18.83,19.3,19.38,0.0
301311,昆船智能,17.69,20.01,2.95,102308,180907941.59,2.04,11.73,-78.16,3.69,17.69,17.39,17.69,14.74,0.0
300338,*ST开元,2.58,20.0,0.43,539301,131784828.28,20.93,15.65,-28.83,1.96,2.58,2.13,2.19,2.15,0.0
300382,斯莱克,6.07,19.96,1.01,226553,128927718.54,20.75,3.61,108.22,2.64,6.07,5.02,5.06,5.06,0.0
300032,金龙机电,3.9,15.73,0.53,1382779,539716202.6,16.02,17.22,-41.62,5.13,4.04,3.5,3.55,3.37,0.52
688039,当虹科技,22.52,12.88,2.57,76288,167566535.0,13.73,6.82,-30.16,4.35,23.39,20.65,21.22,19.95,0.85
301030,仕净科技,22.92,11.32,2.33,163852,364095693.11,16.03,9.62,17.85,1.98,23.59,20.29,20.4,20.59,-0.13
300879,大叶股份,15.95,10.61,1.53,204180,330196790.78,15.4,12.08,25.65,4.81,17.3,15.08,17.3,14.42,0.13
301611,珂玛科技,33.3,10.56,3.18,299774,1023117033.1,19.72,53.15,52.17,1.38,36.14,30.2,30.28,30.12,-0.3
300163,ST先锋,1.72,10.26,0.16,644714,108382122.51,18.59,15.5,37.6,2.09,1.85,1.56,1.57,1.56,0.0
002689,远大智能,2.6,10.17,0.24,407679,103627988.3,11.02,3.91,-175.21,1.19,2.6,2.34,2.36,2.36,0.0
601515,东峰集团,2.5,10.13,0.23,163642,40586506.0,9.69,0.89,-17.71,0.97,2.5,2.28,2.28,2.27,0.0
002723,小崧股份,5.45,10.1,0.5,121047,64653949.75,8.28,3.82,219.41,2.25,5.45,5.04,5.09,4.95,0.0
600698,湖南天雁,3.71,10.09,0.34,341115,124347544.0,10.68,4.11,1759.42,6.24,3.71,3.35,3.35,3.37,0.0
600543,莫高股份,5.35,10.08,0.49,274501,142960433.0,11.32,8.55,-93.09,2.55,5.35,4.8,4.8,4.86,0.0
000859,国风新材,4.26,10.08,0.39,793263,330201504.52,9.56,8.85,-45.68,4.96,4.26,3.89,4.1,3.87,0.0
000595,宝塔实业,4.59,10.07,0.42,522786,233427269.39,9.11,4.59,-81.31,1.87,4.59,4.21,4.28,4.17,0.0
600178,东安动力,8.09,10.07,0.74,277870,218287643.0,10.07,5.96,-283.15,3.39,8.09,7.35,7.36,7.35,0.0
002369,卓翼科技,5.15,10.04,0.47,1732042,862883810.42,13.68,30.62,-16.88,1.93,5.15,4.51,4.68,4.68,0.0
600550,保变电气,5.37,10.04,0.49,240598,129199449.0,0.61,1.31,217.0,2.11,5.37,5.34,5.37,4.88,0.0
000985,大庆华科,13.71,10.03,1.25,65356,86911785.0,10.35,5.04,110.78,3.75,13.71,12.42,12.45,12.46,0.0
603429,集友股份,4.06,10.03,0.37,96655,38132045.0,9.76,1.84,-15.4,1.82,4.06,3.7,3.77,3.69,0.0
000006,深振业Ａ,4.17,10.03,0.38,379424,154795250.01,10.03,2.81,-8.14,1.8,4.17,3.79,3.79,3.79,0.0
600152,维科技术,5.6,10.02,0.51,244196,132558180.0,9.43,4.62,-202.5,2.11,5.6,5.12,5.15,5.09,0.0
000062,深圳华强,31.22,10.01,2.84,992277,2981741955.21,13.11,9.5,92.47,0.77,31.22,27.5,28.0,28.38,0.0
603297,永新光学,54.87,10.0,4.99,21508,113198501.0,10.53,1.95,30.62,2.41,54.87,49.62,49.63,49.88,0.0
603004,鼎龙科技,20.13,10.0,1.83,70886,140168348.0,6.17,12.04,33.08,1.18,20.13,19.0,19.0,18.3,0.0
600679,上海凤凰,9.79,10.0,0.89,138076,128398583.0,13.37,4.08,62.11,3.36,9.79,8.6,8.72,8.9,0.0
600552,凯盛科技,16.06,10.0,1.46,1478215,2304209958.0,12.67,15.65,182.17,1.19,16.06,14.21,14.4,14.6,0.0
002383,合众思壮,6.05,10.0,0.55,228709,135877520.0,10.55,3.71,-38.78,3.55,6.05,5.47,5.47,5.5,0.0
002261,拓维信息,12.32,10.0,1.12,1096189,1294502233.21,10.45,9.72,2319.8,0.99,12.32,11.15,11.15,11.2,0.0
