,Unnamed: 0,股票代码,股票名称,交易日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅%,涨跌额
0,149,301128,强瑞技术,2024-03-04,41.4,46.98,46.98,41.4,109065,499926116.0,14.3,20.37,7.95
1,149,301399,英特科技,2024-03-04,22.41,25.48,25.48,22.41,34720,126078283.0,14.5,20.36,4.31
2,149,301313,凡拓数创,2024-03-04,23.95,28.58,28.58,22.98,124301,322836239.0,23.54,20.13,4.79
3,149,300290,荣科科技,2024-03-04,6.33,7.43,7.43,6.33,1409443,985203987.0,17.77,20.03,1.24
4,149,300757,罗博特科,2024-03-04,101.88,113.04,113.04,97.88,179286,1906177663.0,16.09,20.0,18.84
5,149,688173,希荻微,2024-03-04,12.99,15.36,15.36,12.5,231942,330231450.0,22.34,20.0,2.56
6,149,301201,诚达药业,2024-03-04,19.01,22.92,22.92,19.01,100579,225764852.0,20.47,20.0,3.82
7,149,300210,森远股份,2024-03-04,11.73,13.93,13.93,11.45,1299953,1673005107.0,21.36,19.98,2.32
8,149,300013,*ST新宁,2024-03-04,2.76,3.32,3.32,2.72,649115,202197926.0,21.66,19.86,0.55
9,149,688676,金盘科技,2024-03-04,40.0,46.0,46.65,40.0,105092,453002164.0,16.96,17.32,6.79
10,149,300966,共同药业,2024-03-04,17.14,19.71,20.05,16.72,81020,147850843.0,19.5,15.4,2.63
11,149,688535,华海诚科,2024-03-04,77.36,86.31,90.68,75.7,56683,472860157.0,19.84,14.29,10.79
12,149,872808,曙光数创,2024-03-04,56.1,59.5,61.15,53.11,113518,656284882.62,15.43,14.2,7.4
13,149,300067,安诺其,2024-03-04,3.54,4.04,4.22,3.51,2075719,816406973.0,20.06,14.12,0.5
14,149,300935,盈建科,2024-03-04,18.94,21.46,22.49,17.99,54814,107528921.0,23.9,13.97,2.63
15,149,300109,新开源,2024-03-04,18.5,19.57,20.53,18.12,235793,451241003.0,14.02,13.85,2.38
16,149,300709,精研科技,2024-03-04,30.74,31.39,33.03,29.64,373176,1164957752.0,12.27,13.61,3.76
17,149,300345,华民股份,2024-03-04,6.93,7.8,8.0,6.93,193419,148360865.0,15.44,12.55,0.87
18,149,688611,DR杭州柯,2024-03-04,17.39,18.75,19.75,17.06,22805,58453801.0,16.02,11.67,1.96
19,87,301489,思泉新材,2024-03-04,82.25,78.0,84.1,74.0,82336,661996188.0,14.41,11.3,7.92
20,149,603508,思维列控,2024-03-04,16.55,17.15,17.15,16.39,284044,503349790.0,4.9,10.5,1.63
21,149,300430,诚益通,2024-03-04,15.3,16.13,16.36,15.3,251192,398210893.0,7.26,10.48,1.53
22,149,2632,道明光学,2024-03-04,6.58,6.97,6.97,6.16,397399,273739155.98,12.84,10.46,0.66
23,149,603214,爱婴室,2024-03-04,12.02,13.29,13.29,11.91,95971,124409255.0,11.45,10.29,1.24
24,149,2716,湖南白银,2024-03-04,2.62,2.81,2.81,2.62,457452,126963459.67,7.45,10.2,0.26
25,149,2923,润都股份,2024-03-04,9.68,10.07,10.07,9.59,47628,48594562.05,5.25,10.18,0.93
26,149,2947,恒铭达,2024-03-04,28.9,31.66,31.66,28.54,89417,274828466.19,10.86,10.16,2.92
27,149,908,*ST景峰,2024-03-04,2.07,2.28,2.28,2.03,750443,167953368.76,12.08,10.14,0.21
28,149,600839,四川长虹,2024-03-04,5.35,5.78,5.78,5.25,5686320,3165462609.0,10.1,10.1,0.53
29,149,2837,英维克,2024-03-04,22.7,22.7,22.7,22.13,303476,898826990.24,2.76,10.09,2.08
30,149,2864,盘龙药业,2024-03-04,30.01,33.1,33.1,29.99,102546,336519069.58,10.34,10.08,3.03
31,149,2762,金发拉比,2024-03-04,7.16,7.97,7.97,6.93,269460,201877098.88,14.36,10.08,0.73
32,149,2272,川润股份,2024-03-04,5.46,5.46,5.46,5.46,55418,30258228.0,0.0,10.08,0.5
33,149,600229,城市传媒,2024-03-04,7.99,8.42,8.42,7.58,878694,708326713.0,10.98,10.07,0.77
34,149,2313,日海智能,2024-03-04,8.5,9.19,9.19,8.5,165699,149473703.5,8.26,10.06,0.84
35,149,2877,智能自控,2024-03-04,8.6,9.52,9.52,8.36,302597,274697892.05,13.41,10.06,0.87
36,149,603256,宏和科技,2024-03-04,7.55,7.55,7.55,7.55,41209,31112795.0,0.0,10.06,0.69
37,149,2881,美格智能,2024-03-04,26.83,26.83,26.83,26.83,18907,50917412.76,0.0,10.05,2.45
38,149,2319,乐通股份,2024-03-04,10.75,11.83,11.83,10.75,36236,42260354.45,10.05,10.05,1.08
39,149,600774,汉商集团,2024-03-04,7.14,7.78,7.78,7.02,67251,49953416.0,10.75,10.04,0.71
40,149,603121,华培动力,2024-03-04,7.55,8.22,8.22,7.55,409949,333215542.0,8.97,10.04,0.75
41,149,2369,卓翼科技,2024-03-04,5.04,5.04,5.04,5.04,84186,42429502.08,0.0,10.04,0.46
